time	V(vout)	V(vref)	V(vsensor)
3.571750000000072e-02	3.000000e+00	3.673467e+00	3.604247e+00
3.673850000000074e-02	3.000000e+00	3.673467e+00	3.602445e+00
3.775950000000076e-02	3.000000e+00	3.673467e+00	3.600646e+00
3.878050000000078e-02	3.000000e+00	3.673467e+00	3.598847e+00
3.980150000000080e-02	3.000000e+00	3.673467e+00	3.597049e+00
4.082250000000082e-02	3.000000e+00	3.673467e+00	3.595253e+00
4.184350000000085e-02	3.000000e+00	3.673467e+00	3.593457e+00
4.286450000000087e-02	3.000000e+00	3.673467e+00	3.591663e+00
4.388550000000089e-02	3.000000e+00	3.673467e+00	3.589869e+00
4.490650000000090e-02	3.000000e+00	3.673467e+00	3.588076e+00
4.592750000000093e-02	3.000000e+00	3.673467e+00	3.586285e+00
4.694850000000095e-02	3.000000e+00	3.673467e+00	3.584494e+00
4.796950000000097e-02	3.000000e+00	3.673467e+00	3.582705e+00
4.899050000000099e-02	3.000000e+00	3.673467e+00	3.580917e+00
5.000850000000001e-02	3.000000e+00	3.673467e+00	3.579135e+00
5.102950000000003e-02	3.000000e+00	3.673467e+00	3.577348e+00
5.205050000000006e-02	3.000000e+00	3.673467e+00	3.575564e+00
5.307150000000007e-02	3.000000e+00	3.673467e+00	3.573779e+00
5.409250000000009e-02	3.000000e+00	3.673467e+00	3.571996e+00
5.511350000000011e-02	3.000000e+00	3.673467e+00	3.570214e+00
5.613450000000014e-02	3.000000e+00	3.673467e+00	3.568434e+00
5.715550000000016e-02	3.000000e+00	3.673467e+00	3.566653e+00
5.817650000000018e-02	3.000000e+00	3.673467e+00	3.564875e+00
5.919750000000020e-02	3.000000e+00	3.673467e+00	3.563097e+00
6.021850000000022e-02	3.000000e+00	3.673467e+00	3.561320e+00
6.123950000000024e-02	3.000000e+00	3.673467e+00	3.559544e+00
6.226050000000026e-02	3.000000e+00	3.673467e+00	3.557769e+00
6.328150000000028e-02	3.000000e+00	3.673467e+00	3.555995e+00
6.430250000000030e-02	3.000000e+00	3.673467e+00	3.554223e+00
6.532350000000033e-02	3.000000e+00	3.673467e+00	3.552451e+00
6.634450000000035e-02	3.000000e+00	3.673467e+00	3.550681e+00
6.736550000000037e-02	3.000000e+00	3.673467e+00	3.548912e+00
6.838650000000039e-02	3.000000e+00	3.673467e+00	3.547143e+00
6.940750000000041e-02	3.000000e+00	3.673467e+00	3.545375e+00
7.042850000000044e-02	3.000000e+00	3.673467e+00	3.543609e+00
7.144950000000046e-02	3.000000e+00	3.673467e+00	3.541843e+00
7.247050000000048e-02	3.000000e+00	3.673467e+00	3.540079e+00
7.349150000000049e-02	3.000000e+00	3.673467e+00	3.538316e+00
7.451250000000051e-02	3.000000e+00	3.673467e+00	3.536553e+00
7.553350000000053e-02	3.000000e+00	3.673467e+00	3.534792e+00
7.655450000000055e-02	3.000000e+00	3.673467e+00	3.533033e+00
7.757550000000057e-02	3.000000e+00	3.673467e+00	3.531273e+00
7.859650000000060e-02	3.000000e+00	3.673467e+00	3.529516e+00
7.961750000000062e-02	3.000000e+00	3.673467e+00	3.527758e+00
8.063850000000064e-02	3.000000e+00	3.673467e+00	3.526002e+00
8.165950000000066e-02	3.000000e+00	3.673467e+00	3.524247e+00
8.268050000000068e-02	3.000000e+00	3.673467e+00	3.522494e+00
8.370150000000071e-02	3.000000e+00	3.673467e+00	3.520741e+00
8.472250000000073e-02	3.000000e+00	3.673467e+00	3.518988e+00
8.574350000000075e-02	3.000000e+00	3.673467e+00	3.517238e+00
8.676450000000077e-02	3.000000e+00	3.673467e+00	3.515488e+00
8.778550000000079e-02	3.000000e+00	3.673467e+00	3.513739e+00
8.880650000000080e-02	3.000000e+00	3.673467e+00	3.511992e+00
8.982750000000082e-02	3.000000e+00	3.673467e+00	3.510245e+00
9.084850000000085e-02	3.000000e+00	3.673467e+00	3.508499e+00
9.186950000000087e-02	3.000000e+00	3.673467e+00	3.506755e+00
9.289050000000089e-02	3.000000e+00	3.673467e+00	3.505011e+00
9.391150000000091e-02	3.000000e+00	3.673467e+00	3.503269e+00
9.493250000000093e-02	3.000000e+00	3.673467e+00	3.501527e+00
9.595350000000095e-02	3.000000e+00	3.673467e+00	3.499787e+00
9.697450000000098e-02	3.000000e+00	3.673467e+00	3.498047e+00
9.799550000000100e-02	3.000000e+00	3.673467e+00	3.496310e+00
9.901350000000002e-02	3.000000e+00	3.673467e+00	3.494577e+00
9.999950000000100e-02	3.000000e+00	3.673467e+00	3.492901e+00
1.000000000000000e-01	3.000000e+00	3.673467e+00	3.492900e+00
